brand,screen_size,cpu,ram,OS,graphics,price
Dell,15.6,Intel,32,Windows,Integrated,939.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Acer,16.0,AMD,16,Windows,Dedicated,1649.99
Asus,16.0,AMD,32,Windows,Dedicated,3849.99
Asus,11.6,Other,4,Windows,Integrated,252.54
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
HP,14.0,Intel,8,Windows,Integrated,499.99
LG,16.0,Intel,16,Windows,Dedicated,1612.99
Samsung,12.2,Other,4,Chrome OS,Integrated,447.95
Lenovo,15.6,Intel,20,Windows,Integrated,487.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Lenovo,13.3,Other,4,Chrome OS,Integrated,433.99
HP,15.6,Intel,16,Windows,Integrated,520.0
LG,17.0,Intel,16,Windows,Integrated,1399.99
Dell,15.6,Intel,16,Windows,Integrated,1428.96
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Dell,15.6,Intel,16,Windows,Dedicated,1749.33
HP,14.0,Intel,8,Windows,Integrated,608.0
LG,16.0,Intel,32,Windows,Dedicated,1896.99
Asus,15.6,Intel,16,Windows,Dedicated,999.0
Asus,14.0,Intel,8,Windows,Dedicated,357.5
MSI,15.6,Intel,16,Windows,Integrated,1465.8
LG,16.0,Intel,16,Windows,Integrated,1799.0
Dell,15.6,Intel,32,Windows,Integrated,949.99
HP,14.0,Other,4,Chrome OS,Integrated,150.0
LG,14.0,Intel,32,Windows,Integrated,1796.99
MSI,15.6,Intel,32,Windows,Dedicated,1697.23
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Dell,15.6,AMD,16,Windows,Dedicated,1497.99
Asus,14.0,AMD,16,Windows,Integrated,1099.99
HP,15.6,AMD,16,Windows,Dedicated,699.0
HP,14.0,Other,4,Chrome OS,Integrated,239.0
Other,13.5,Intel,16,Windows,Integrated,1198.99
Lenovo,14.0,Intel,16,Windows,Integrated,689.0
Dell,13.3,Intel,16,Windows,Dedicated,1680.56
Apple,13.3,Intel,16,MacOS,Integrated,911.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
MSI,15.66,Intel,32,Windows,Dedicated,1599.0
MSI,15.6,Intel,32,Windows,Dedicated,1699.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Asus,14.0,Other,4,Windows,Integrated,129.99
Acer,14.0,Intel,16,Windows,Dedicated,886.37
Samsung,13.3,Intel,16,Chrome OS,Integrated,729.0
HP,14.0,Other,8,Windows,Integrated,159.99
HP,15.6,AMD,32,Windows,Dedicated,732.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Lenovo,15.6,Other,4,Windows,Integrated,185.95
Acer,14.0,Other,4,Chrome OS,Integrated,204.0
Acer,17.3,Intel,16,Windows,Integrated,699.99
Lenovo,15.6,Intel,8,Windows,Integrated,485.0
Dell,15.6,Intel,16,Windows,Integrated,1499.99
Asus,14.0,Intel,4,Windows,Integrated,460.48
LG,17.0,Intel,16,Windows,Integrated,1199.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Lenovo,16.0,Intel,16,Windows,Integrated,849.0
Lenovo,14.0,Other,4,Windows,Integrated,220.69
Acer,16.0,AMD,16,Windows,Dedicated,1241.46
Lenovo,14.0,Intel,8,Windows,Integrated,443.0
HP,14.0,Other,4,Chrome OS,Integrated,225.0
Other,14.0,Intel,16,Windows,Integrated,655.96
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Dell,15.6,Intel,32,Windows,Integrated,689.65
Asus,17.3,Intel,4,Chrome OS,Integrated,246.0
Lenovo,16.0,Intel,32,Windows,Dedicated,1949.0
HP,15.6,AMD,16,Windows,Dedicated,1137.02
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Asus,17.3,Other,4,Chrome OS,Integrated,247.36
Acer,15.6,Intel,16,Windows,Dedicated,1199.0
Acer,15.6,AMD,8,Windows,Integrated,450.0
Asus,14.5,Intel,12,Windows,Integrated,689.49
Asus,15.6,Intel,64,Windows,Dedicated,2819.0
Asus,15.6,Intel,16,Windows,Integrated,901.56
Asus,16.0,Intel,16,Windows,Dedicated,1399.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Asus,14.0,Intel,16,Chrome OS,Integrated,979.99
Asus,15.6,Intel,16,Windows,Dedicated,1259.99
Samsung,14.0,Other,4,Windows,Integrated,345.0
MSI,16.0,Intel,32,Windows,Dedicated,2198.99
Other,13.1,Intel,8,Windows,Integrated,420.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Dell,14.0,Intel,16,Windows,Dedicated,1658.99
Other,13.1,Intel,16,Windows,Integrated,1550.99
HP,11.6,Other,4,Windows,Integrated,245.0
Asus,16.0,Intel,16,Windows,Dedicated,1646.99
Dell,15.6,Intel,16,Windows,Integrated,1109.18
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Lenovo,14.0,Other,4,Windows,Integrated,195.0
HP,15.6,AMD,4,Windows,Integrated,269.0
Dell,15.6,Intel,16,Windows,Integrated,1349.99
Dell,14.0,Intel,8,Windows,Dedicated,835.85
Asus,12.0,Other,4,Chrome OS,Integrated,278.97
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Dell,15.6,Intel,16,Windows,Dedicated,1576.57
Dell,16.0,Intel,32,Windows,Dedicated,2549.0
Other,17.0,Intel,32,Windows,Dedicated,3499.99
HP,14.0,Intel,32,Windows,Integrated,729.99
Lenovo,15.6,Intel,8,Windows,Dedicated,934.0
Acer,15.6,Other,4,Chrome OS,Integrated,129.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Lenovo,13.3,Other,4,Chrome OS,Integrated,469.99
Acer,17.3,Intel,32,Windows,Dedicated,1259.0
Asus,15.6,Intel,32,Windows,Dedicated,2299.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Dell,14.0,Intel,32,Windows,Integrated,2023.03
Other,16.0,AMD,32,Windows,Dedicated,1699.99
Apple,13.3,Intel,8,MacOS,Integrated,1068.99
Asus,14.0,Other,4,Chrome OS,Integrated,283.55
Other,14.0,Intel,16,Windows,Integrated,658.94
Other,15.6,Intel,16,Windows,Integrated,1599.0
Dell,17.0,Intel,32,Windows,Dedicated,2475.0
Apple,13.0,Other,8,MacOS,Integrated,1178.0
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
Asus,16.0,AMD,8,Windows,Integrated,699.99
Samsung,15.6,Intel,16,Windows,Integrated,1177.42
HP,15.6,AMD,8,Windows,Integrated,346.9
Asus,15.6,Intel,16,Windows,Dedicated,1530.63
Asus,14.0,Intel,16,Chrome OS,Integrated,1211.99
HP,15.6,Intel,8,Windows,Integrated,423.99
MSI,15.6,Intel,32,Windows,Dedicated,1499.0
Acer,14.0,Intel,16,Windows,Integrated,1406.88
Dell,16.0,Intel,32,Windows,Integrated,899.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Asus,14.0,Intel,16,Windows,Integrated,1829.99
Asus,15.6,Intel,8,Windows,Integrated,606.15
MSI,15.6,Intel,32,Windows,Dedicated,1899.0
Dell,15.6,Intel,16,Windows,Integrated,1038.43
Lenovo,16.0,Intel,40,Windows,Integrated,1799.0
Lenovo,14.0,Intel,8,Windows,Integrated,922.55
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Apple,15.6,Intel,96,MacOS,Integrated,5299.0
HP,14.0,Intel,8,Windows,Integrated,629.49
Dell,13.3,Intel,32,Windows,Integrated,1507.9
Dell,15.6,Intel,16,Windows,Integrated,649.0
Lenovo,13.0,Other,4,Chrome OS,Integrated,195.99
Asus,15.6,Intel,8,Windows,Dedicated,940.47
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Other,11.6,Other,6,Windows,Integrated,308.42
Asus,16.0,Intel,16,Windows,Dedicated,1799.99
Apple,16.2,Other,64,MacOS,Integrated,4079.99
MSI,15.6,AMD,16,Windows,Integrated,799.0
HP,14.0,Intel,16,Windows,Dedicated,1681.99
MSI,16.0,Intel,32,Windows,Dedicated,1743.0
Dell,16.0,Intel,64,Windows,Integrated,4762.76
Asus,10.5,Other,4,Chrome OS,Integrated,349.95
ROKC,15.6,Intel,20,Windows,Integrated,389.99
HP,15.6,Intel,16,Windows,Integrated,459.99
ROKC,15.6,Intel,20,Windows,Integrated,639.99
HP,14.0,Intel,8,Windows,Integrated,428.45
Samsung,14.0,Other,8,Chrome OS,Integrated,349.99
Acer,11.6,AMD,16,Chrome OS,Integrated,139.0
Asus,15.6,AMD,8,Windows,Integrated,619.99
Dell,14.0,Intel,16,Windows,Integrated,691.53
Apple,13.6,Intel,16,MacOS,Integrated,2778.0
Dell,16.0,Intel,32,Windows,Integrated,899.99
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Asus,14.0,Intel,32,Windows,Integrated,1947.99
HP,14.0,Intel,4,Chrome OS,Integrated,259.95
Lenovo,13.3,Other,4,Chrome OS,Integrated,245.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Other,15.6,Intel,16,Windows,Dedicated,2099.99
Lenovo,14.0,Intel,16,Windows,Integrated,1199.99
Lenovo,15.6,Intel,12,Windows,Dedicated,508.0
Dell,15.6,Intel,64,Windows,Dedicated,2013.5
Other,12.3,Other,8,Windows,Integrated,624.99
Dell,15.6,Intel,32,Windows,Dedicated,1689.18
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Dell,14.0,Intel,16,Windows,Dedicated,1029.99
HP,14.0,AMD,8,Windows,Integrated,313.0
Asus,15.6,AMD,8,Windows,Integrated,699.99
Dell,16.0,Intel,16,Windows,Dedicated,1161.11
Asus,15.6,AMD,8,Windows,Integrated,548.0
ROKC,14.0,Intel,8,Windows,Integrated,589.99
HP,15.6,Intel,64,Windows,Integrated,999.99
Lenovo,15.6,Intel,8,Windows,Integrated,389.0
Lenovo,10.1,Other,4,Chrome OS,Integrated,349.0
Asus,17.3,AMD,8,Windows,Integrated,999.99
LG,14.0,Intel,16,Windows,Integrated,1303.76
Dell,15.6,Intel,32,Windows,Dedicated,2387.94
